Countries,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
US,0,0,1,0,1.5,0,0,0,0,0.4,0.142857143,0,0.375,0,0,0,0,0,0,0,0.090909091,0,0.083333333,0,0,0,0,0,0,0,0.153846154,0,0,2.4,0,0.117647059,0.01754386,0.034482759,0.133333333,0.088235294,0.324324324,0.204081633,0.262711864,0.456375839,0.207373272,0.534351145,0.288557214,0.125482625,0.644939966,0.335766423,0.298204528,0.310282622,0.25149151,0.283094976,0.323806802,0.386226252,0.212116493,0.766285494,0.401978614,0.32828309,0.29984375,0.317676403,0.22562547,0.224004466,0.274529478,0.212569779,0.194979195,0.159954889,0.148521386,0.162725458,0.133920031,0.141743059,0.131231118,0.120702793,0.091377691,0.087800233,0.080607199
Spain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.166666667,0.153846154,1.133333333,0.40625,0.866666667,0.428571429,0.375,0.345454545,0.166666667,0.544401544,0.25,0.346,0.59435364,0.579683131,0.343362832,0,1.297760211,0.221521407,0.220153341,0.274942293,0.181653591,0.184031324,0.291373113,0.136224461,0.243214111,0.133758966,0.221357063,0.135160519,0.241444152,0.167040291,0.137282387,0.114365709,0.093875879,0.097940332,0.090579381,0.085433108,0.07632686,0.063659483,0.058465256,0.043418299,0.038200933,0.038536675,,,,,,,,,,,
Italy,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.666666667,2.1,1.5,0.477419355,0.406113537,0.406832298,0.445916115,0.355725191,0.27027027,0.50177305,0.20188902,0.228880157,0.23461231,0.24894788,0.201658891,0.268981881,0.253612103,0.243661017,0.106519843,0.227904227,0,0.417108008,0.19801812,0.169683793,0.130642098,0.126018585,0.133530121,0.149021365,0.145875472,0.139448332,0.103773937,0.08098008,0.082109281,0.075315138,0.083389347,0.073322662,0.069065181,0.056417078,0.041458097,0.039837231,0.045201906,0.042216072,0.039785842,0.040099477,0.034629951,0.027910476,0.022927716,,,,,,,,,,
France,0.5,0,0,0.333333333,0.25,0,0,0.2,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0.166666667,0.285714286,1.111111111,0.5,0.754385965,0.3,0.469230769,0.068062827,0.411764706,0.319444444,0.726315789,0.461890244,0.184567258,0.07306338,0.471698113,0.278149387,0,0.605320541,0.221407226,0.008007117,0.47462489,0.154421667,0.182631238,0.202323542,0.162989973,0.133641637,0.123072668,0.23887213,0.124186255,0.131641765,0.154335938,0.130317079,0.140799952,0.068311245,0.109609905,0.169515165,0.093172052,0.037749571,0.087987452,0.393331493,0.032185629,0.055347012,0.112184475,,,
Germany,3,0,0,0.25,0.6,0.25,0.2,0,0,0,0.083333333,0,0.076923077,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.588235294,0.703703704,0.043478261,0.645833333,0.64556962,0.223076923,0.232704403,0.336734694,0.839694656,0.390041494,0.192537313,0.301627034,0.130769231,0.238945578,0.309540151,0.089098532,0.76852743,0.247619048,0.263904035,0.254874892,0.272964796,0.33164092,0.242800357,0.295561358,0.119155582,0.119749696,0.168174326,0.135256057,0.131480022,0.177236557,0.157790523,0.134143225,0.076263108,0.077139866,0.073603947,0.084447415,0.08888946,0.075064273,0.05411424,0.041949382,0.032470062,0.041490123,,,,,,
China,0,0.173357664,0.430793157,0.52826087,0.475817923,0.386506024,0.914841849,0.104919223,0.337440447,0.204028989,0.213119771,0.398536708,0.18556825,0.202424427,0.15746404,0.114686589,0.115179651,0.07927294,0.081898191,0.063396018,0.047976578,0.008403551,0.338166626,0.107905501,0.030968384,0.03069592,0.027243203,0.024532678,0.005497837,0.006137847,0.006300198,0.019205824,0.000272724,0.002843343,0.00664155,0.005298763,0.005552286,0.004173028,0.005422664,0.00725843,0.002552169,0.001559848,0.001557419,0.001878437,0.001899748,0.000991449,0.000656184,0.00045779,0.00033391,0.000420339,0.000135935,0.000160629,0.00039533,0.000321079,0.000370357,0.000308516,0.000542821,0.000665828,0.001158263,0.000676923,0.001598918,0.000773623,0.001141132,0.000857938,0.001481735,0.001406177,0.001245467,0.001500018,0.000925452,0.000985425,0.000996609,0.000862058,0.000958366,0.000387827,0.000714779,0.000762693,0.000641142
Iran,1.5,2.6,0.555555556,0.535714286,0.418604651,0.557377049,0.463157895,0.762589928,0.583673469,0.528350515,0.649241147,0.534764826,0.556295803,0.250856164,0.202258727,0.351266724,0.226669475,0.127597458,0.090618337,0.12302751,0.119124596,0.119444444,0.127940447,0.120116156,0.094979967,0.075548859,0.078580482,0.073721319,0.060249986,0.067202695,0.049175321,0.0498787,0.065209354,0.076445833,0.088912176,0.088425806,0.099503503,0.095137944,0.081930637,0.083165836,0.074948789,0.066988006,0.060408043,0.053796465,0.048135682,0.04454371,0.039054718,0.034528926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,0,0,0,0,0,0,0.5,0,0,1.666666667,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0.153846154,0.333333333,0.15,0.565217391,0.111111111,0.275,0.68627451,0.348837209,0.413793103,0.262195122,0.323671498,0.175182482,0.192546584,0.1953125,0,0.747276688,0.426433915,0.000874126,0.354585153,0.263700838,0.347959184,0.028009084,0.477908689,0.262331839,0.133806986,0.17075718,0.213797205,0.180793729,0.225311203,0.248306807,0.173550356,0.142625982,0.135140603,0.134869007,0.17207805,0.144302271,0.132193665,0.097910957,0.14030378,0.079301159,0.070221763,,,,,,,,,,
Turkey,0,4,0,0.2,2,1.611111111,1.085106383,0.959183673,0.869791667,0.866295265,0.844776119,0.237055016,0.224329627,0.299679487,0.491574188,0.570129512,0.299052299,0.245203999,0.174677227,0.249746005,0.158746582,0.156642643,0.153625586,0.144017972,0.130985209,0.116295393,0.128801668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,0,7,0,1.25,0.5,0.555555556,0.333333333,0.607142857,0.266666667,0.877192982,0.252336449,0.257462687,0.109792285,0.312834225,0.32790224,0,0.746932515,0.193151888,0.61883738,0,0.227272727,0.121481481,0.345772787,0.299141104,0.241972044,0.136730038,0.176746053,0.123024446,0.103270224,0.083876296,0.094572856,0.088799505,0.053495311,0.073706926,0.042896621,0.070039145,0.059601531,0.041376746,0.04585331,0.029017313,0.026398104,0.02751997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.625,0.769230769,1.173913043,1.18,0.550458716,0.183431953,0.195,0.117154812,0.176029963,0,0.780254777,0.23255814,0.285921626,0.194130926,0.174858223,0.195494771,0.207940781,0.257381616,0.247230837,0.208170515,0.100558659,0.140528987,0.156476927,0.2629127,0.168243785,0.253981329,0.186336764,0.098098929,0.073619632,0.093072407,0.099112002,0.092650508,0.099045915,0.068363084,0.057031131,0.066301528,,,,,,,,,,,,,,
Netherlands,0,5,0.666666667,0.8,0.333333333,0.583333333,1.157894737,0.56097561,0.46875,0.409574468,0.211320755,0.190031153,0.316753927,0,0.602385686,0.193548387,0.182952183,0.244288225,0.208333333,0.202805377,0.198736638,0.217267937,0.212121212,0.158516484,0.129713066,0.171284635,0.153763441,0.159987574,0.157873594,0.135538337,0.113147978,0.08115279,0.07193027,0.081234704,0.07958528,0.069863384,0.0572729,0.073303438,0.054203108,0.04137603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,1,0,0,1,0,0,0,0,0.25,0,0.4,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.125,0,0,0.111111111,0.1,0,0.181818182,0.076923077,0.428571429,0.2,0.125,0.111111111,0.1,0.121212121,0.324324324,0.102040816,0.185185185,0.203125,0.025974026,0.367088608,0.083333333,0.64957265,0.025906736,0.272727273,0.646825397,0.151807229,0.374476987,0.217656012,0.17875,0.354188759,0.150352388,0.421375085,0.336206897,0.165232975,0.24207936,0.158494304,0.190893544,0.126368695,0.178167331,0.152576762,0.121112545,0.18036219,0.102252572,0.043366321,0.214219618,0.051187603,0.079023683,,,,,
Brazil,0,0,1,0,0,0,1,0,2.25,0,0.538461538,0.25,0.24,0.225806452,0.368421053,1.903846154,0,0.072847682,0.234567901,0.605,0.158878505,0.669354839,0.276972625,0.287515763,0.514201763,0.24450194,0.167879418,0.136626613,0.168754894,0.144723618,0.142522681,0.090163934,0.075892857,0.248525879,0.195732027,0.176711527,0.125808056,0.143992933,0.074324324,0.092632525,0.154016939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0,0.5,0,2,0.555555556,0.285714286,0.166666667,0.380952381,0.413793103,0.341463415,0.436363636,0.316455696,0.259615385,0.389312977,0.351648352,0.227642276,0.668874172,0.299603175,0.312977099,0.18372093,0.308447937,0.235735736,0.222964763,0.186289121,0.17839196,0.272921109,0.249022892,0.18082253,0.057732349,0.236399427,0.108264582,0.080188063,0.062507557,0.094446973,0.058432106,0.0521611,0.039025301,0.035492857,0.022301284,0.022918258,0.020413244,0.027811661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,1.5,0.6,0.625,0.538461538,0.5,0,0.366666667,0.43902439,0,0.898305085,0.508928571,0.449704142,0.351020408,0.35347432,0,0.752232143,0.299363057,0.254901961,0.25,0.2875,0.146601942,0.267993226,0.183305509,0.204288939,0.211340206,0.153191489,0.074807112,0.161516854,0.108558377,0.094897588,0.094310383,0.064535707,0.071645762,0.040078028,0.060699062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",0,1,0,0.5,0.333333333,0,0,0,1.75,0.090909091,0.25,0,0.066666667,0.1875,0.210526316,0.043478261,0,0.041666667,0.08,0.037037037,0,0,0,0,0.035714286,0.034482759,0.033333333,0,2.35483871,0.961538462,1.12254902,0.390300231,0.38372093,0.172869148,0.290685773,0.400475813,0.323329558,0.3478819,0.186031746,0.160331906,0.196309112,0.083879676,0.083081302,0.082950066,0.067950857,0.038772902,0.022422751,0.004680396,0.032210835,0.014700193,0.013978905,0.013410202,0.009398961,0.009066405,0.010199126,0.011177885,0.018067277,0.010157618,0.016990291,0.018411183,0,0.008481196,0.011065619,0.011382292,0.009847419,0.015645092,0.011078287,0.008139414,0.012938619,0.010320867,0.009001719,0.00862069,0.009342079,0.007975581,0.004591189,0.004570206,